UNIX_time[sec],CP_ref_x,CP_ref_y,ZMP_des_x,ZMP_des_y,CoM_position_x,CoM_positon_y,CP_lip_x,CP_lip_y
1.57744e+09,6.91582e-310,6.91582e-310,6.06608e-310,6.11745e-310,5.33648e-310,5.36996e-310,1.04092e-309,1.0438e-309,
1.57744e+09,6.91582e-310,6.91582e-310,6.16855e-310,6.21938e-310,5.40341e-310,5.43682e-310,1.04666e-309,1.04951e-309,
1.57744e+09,6.91582e-310,6.91582e-310,6.26995e-310,6.32026e-310,5.4702e-310,5.50354e-310,1.05234e-309,1.05516e-309,
1.57744e+09,6.91582e-310,6.91582e-310,6.3703e-310,6.42009e-310,5.53685e-310,5.57012e-310,1.05797e-309,1.06076e-309,
1.57744e+09,6.91582e-310,6.91582e-310,6.46961e-310,6.51888e-310,5.60335e-310,5.63655e-310,1.06353e-309,1.06629e-309,
1.57744e+09,6.91582e-310,6.91582e-310,6.56789e-310,6.61665e-310,5.6697e-310,5.70282e-310,1.06904e-309,1.07177e-309,
1.57744e+09,6.91582e-310,6.91582e-310,6.66515e-310,6.71341e-310,5.7359e-310,5.76894e-310,1.07449e-309,1.0772e-309,
1.57744e+09,6.91582e-310,6.91582e-310,6.76141e-310,6.80916e-310,5.80193e-310,5.83488e-310,1.07989e-309,1.08256e-309,
1.57744e+09,6.91582e-310,6.91582e-310,6.85666e-310,6.90392e-310,5.86779e-310,5.90066e-310,1.08523e-309,1.08787e-309,
1.57744e+09,6.91582e-310,6.91582e-310,6.95093e-310,6.99769e-310,5.93349e-310,5.96627e-310,1.09051e-309,1.09313e-309,
1.57744e+09,6.91582e-310,6.91582e-310,7.04422e-310,7.0905e-310,5.999e-310,6.03169e-310,1.09574e-309,1.09833e-309,
1.57744e+09,6.91582e-310,6.91582e-310,7.13654e-310,7.18234e-310,6.06433e-310,6.09693e-310,1.10091e-309,1.10348e-309,
1.57744e+09,6.91582e-310,6.91582e-310,7.2279e-310,7.27323e-310,6.12948e-310,6.16198e-310,1.10603e-309,1.10857e-309,
1.57744e+09,6.91582e-310,6.91582e-310,7.31832e-310,7.36318e-310,6.19443e-310,6.22683e-310,1.1111e-309,1.11361e-309,
1.57744e+09,6.91582e-310,6.91582e-310,7.4078e-310,7.45219e-310,6.25919e-310,6.29149e-310,1.11611e-309,1.1186e-309,
1.57744e+09,6.91582e-310,6.91582e-310,7.49635e-310,7.54028e-310,6.32375e-310,6.35595e-310,1.12108e-309,1.12354e-309,
1.57744e+09,6.91582e-310,6.91582e-310,7.58398e-310,7.62746e-310,6.3881e-310,6.4202e-310,1.12599e-309,1.12842e-309,
1.57744e+09,6.91582e-310,6.91582e-310,7.67071e-310,7.71373e-310,6.45225e-310,6.48425e-310,1.13085e-309,1.13326e-309,
1.57744e+09,6.91582e-310,6.91582e-310,7.75653e-310,7.79911e-310,6.51619e-310,6.54807e-310,1.13566e-309,1.13804e-309,
1.57744e+09,6.91582e-310,6.91582e-310,7.84147e-310,7.8836e-310,6.57991e-310,6.61169e-310,1.14042e-309,1.14278e-309,
1.57744e+09,6.91582e-310,6.91582e-310,7.92552e-310,7.96722e-310,6.64341e-310,6.67508e-310,1.14513e-309,1.14747e-309,
1.57744e+09,6.91582e-310,6.91582e-310,8.0087e-310,8.04997e-310,6.70669e-310,6.73825e-310,1.14979e-309,1.1521e-309,
1.57744e+09,6.91582e-310,6.91582e-310,8.09102e-310,8.13186e-310,6.76974e-310,6.80119e-310,1.1544e-309,1.15669e-309,
1.57744e+09,6.91582e-310,6.91582e-310,8.17249e-310,8.21291e-310,6.83257e-310,6.8639e-310,1.15897e-309,1.16124e-309,
1.57744e+09,6.91582e-310,6.91582e-310,8.25311e-310,8.29311e-310,6.89516e-310,6.92637e-310,1.16349e-309,1.16573e-309,
1.57744e+09,6.91582e-310,6.91582e-310,8.3329e-310,8.37248e-310,6.95752e-310,6.98861e-310,1.16796e-309,1.17018e-309,
1.57744e+09,6.91582e-310,6.91582e-310,8.41186e-310,8.45103e-310,7.01964e-310,7.05061e-310,1.17239e-309,1.17458e-309,
1.57744e+09,6.91582e-310,6.91582e-310,8.48999e-310,8.52876e-310,7.08152e-310,7.11237e-310,1.17676e-309,1.17894e-309,
1.57744e+09,6.91582e-310,6.91582e-310,8.56732e-310,8.60569e-310,7.14316e-310,7.17389e-310,1.1811e-309,1.18325e-309,
1.57744e+09,6.91582e-310,6.91582e-310,8.64385e-310,8.68181e-310,7.20455e-310,7.23515e-310,1.18539e-309,1.18752e-309,
1.57744e+09,6.91582e-310,6.91582e-310,8.71958e-310,8.75715e-310,7.26569e-310,7.29617e-310,1.18963e-309,1.19174e-309,
1.57744e+09,6.91582e-310,6.91582e-310,8.79453e-310,8.83171e-310,7.32658e-310,7.35694e-310,1.19383e-309,1.19592e-309,
1.57744e+09,6.91582e-310,6.91582e-310,8.8687e-310,8.9055e-310,7.38722e-310,7.41744e-310,1.19799e-309,1.20005e-309,
1.57744e+09,6.91582e-310,6.91582e-310,8.9421e-310,8.97852e-310,7.4476e-310,7.4777e-310,1.2021e-309,1.20414e-309,
1.57744e+09,6.91582e-310,6.91582e-310,9.01474e-310,9.05078e-310,7.50773e-310,7.53769e-310,1.20617e-309,1.20819e-309,
1.57744e+09,6.91582e-310,6.91582e-310,9.08663e-310,9.12229e-310,7.56759e-310,7.59742e-310,1.2102e-309,1.2122e-309,
1.57744e+09,6.91582e-310,6.91582e-310,9.15777e-310,9.19306e-310,7.62719e-310,7.65689e-310,1.21419e-309,1.21617e-309,
1.57744e+09,6.91582e-310,6.91582e-310,9.22817e-310,9.2631e-310,7.68653e-310,7.7161e-310,1.21814e-309,1.22009e-309,
1.57744e+09,6.91582e-310,6.91582e-310,9.29785e-310,9.33241e-310,7.7456e-310,7.77504e-310,1.22204e-309,1.22398e-309,
1.57744e+09,6.91582e-310,6.91582e-310,9.3668e-310,9.40101e-310,7.80441e-310,7.83371e-310,1.22591e-309,1.22782e-309,
1.57744e+09,6.91582e-310,6.91582e-310,9.43504e-310,9.46889e-310,7.86294e-310,7.89211e-310,1.22973e-309,1.23163e-309,
1.57744e+09,6.91582e-310,6.91582e-310,9.50256e-310,9.53606e-310,7.9212e-310,7.95023e-310,1.23351e-309,1.23539e-309,
1.57744e+09,6.91582e-310,6.91582e-310,9.56939e-310,9.60255e-310,7.9792e-310,8.00809e-310,1.23726e-309,1.23912e-309,
1.57744e+09,6.91582e-310,6.91582e-310,9.63553e-310,9.66834e-310,8.03691e-310,8.06567e-310,1.24097e-309,1.2428e-309,
1.57744e+09,6.91582e-310,6.91582e-310,9.70098e-310,9.73345e-310,8.09435e-310,8.12297e-310,1.24463e-309,1.24645e-309,
1.57744e+09,6.91582e-310,6.91582e-310,9.76575e-310,9.79788e-310,8.15152e-310,8.18e-310,1.24826e-309,1.25006e-309,
1.57744e+09,6.91582e-310,6.91582e-310,9.82985e-310,9.86164e-310,8.20841e-310,8.23675e-310,1.25186e-309,1.25364e-309,
1.57744e+09,6.91582e-310,6.91582e-310,9.89328e-310,9.92475e-310,8.26501e-310,8.29321e-310,1.25541e-309,1.25718e-309,
1.57744e+09,6.91582e-310,6.91582e-310,9.95606e-310,9.9872e-310,8.32134e-310,8.3494e-310,1.25893e-309,1.26068e-309,
1.57744e+09,6.91582e-310,6.91582e-310,1.00182e-309,1.0049e-309,8.37739e-310,8.40531e-310,1.26241e-309,1.26414e-309,
1.57744e+09,6.91582e-310,6.91582e-310,1.00797e-309,1.01102e-309,8.43315e-310,8.46093e-310,1.26586e-309,1.26757e-309,
1.57744e+09,6.91582e-310,6.91582e-310,1.01405e-309,1.01707e-309,8.48863e-310,8.51627e-310,1.26927e-309,1.27096e-309,
1.57744e+09,6.91582e-310,6.91582e-310,1.02007e-309,1.02306e-309,8.54383e-310,8.57132e-310,1.27264e-309,1.27432e-309,
1.57744e+09,6.91582e-310,6.91582e-310,1.02603e-309,1.02899e-309,8.59874e-310,8.62609e-310,1.27598e-309,1.27764e-309,
1.57744e+09,6.91582e-310,6.91582e-310,1.03193e-309,1.03485e-309,8.65337e-310,8.68057e-310,1.27929e-309,1.28093e-309,
1.57744e+09,6.91582e-310,6.91582e-310,1.03776e-309,1.04066e-309,8.7077e-310,8.73477e-310,1.28256e-309,1.28418e-309,
1.57744e+09,6.91582e-310,6.91582e-310,1.04354e-309,1.0464e-309,8.76176e-310,8.78867e-310,1.28579e-309,1.2874e-309,
